n,T,method,mean_kernel_μs,std_kernel_μs
1100000,Float32,Forge v4,8.249282836914062,0.20105219905652233
1100000,Float32,Forge v8,15.926361083984375,0.35184134834891406
1100000,Float32,CUDA,9.846687316894531,0.19628348406519047
1100000,UInt8,Forge v1,15.544891357421875,0.15078914929239173
1100000,UInt8,Forge v4,5.125999450683594,0.16858739404357612
1100000,UInt8,Forge v8,4.00543212890625,0.35184134834891406
1100000,UInt8,CUDA,5.507469177246094,0.42723592299511
1200000,Float32,Forge v1,17.66681671142578,0.13533740334452313
1200000,Float32,Forge v4,8.821487426757812,0.22478319205810152
1200000,Float32,Forge v8,16.450881958007812,0.2753020616481904
1200000,Float32,CUDA,10.514259338378906,0.2087581242968829
1200000,UInt8,Forge v1,16.97540283203125,0.1880671114317454
1200000,UInt8,Forge v4,5.3882598876953125,0.16670367688658264
1200000,UInt8,Forge v8,3.814697265625,0.19466795466607237
1200000,UInt8,CUDA,5.3882598876953125,1.0495232912202948
1300000,Float32,Forge v1,19.097328186035156,0.2087581242968829
1300000,Float32,Forge v4,9.512901306152344,0.2087581242968829
1300000,Float32,Forge v8,17.714500427246094,0.11516711510173033
1300000,Float32,CUDA,11.110305786132812,0.16670367688658264
1300000,UInt8,Forge v1,18.310546875,0.1880671114317454
1300000,UInt8,Forge v4,5.793571472167969,0.19628348406519047
1300000,UInt8,Forge v8,4.1484832763671875,0.23033423020346067
1300000,UInt8,CUDA,5.340576171875,0.5861628505257217
1400000,Float32,Forge v1,20.456314086914062,0.29308142526286085
1400000,Float32,Forge v4,10.037422180175781,0.2087581242968829
1400000,Float32,Forge v8,19.26422119140625,0.31389264517039456
1400000,Float32,CUDA,11.706352233886719,0.3067693561811254
1400000,UInt8,Forge v1,19.598007202148438,0.10052609952826116
1400000,UInt8,Forge v4,6.222724914550781,0.2087581242968829
1400000,UInt8,Forge v8,4.315376281738281,0.237090331557215
1400000,UInt8,CUDA,5.340576171875,0.9005365673202066
1500000,Float32,Forge v1,21.839141845703125,0.16670367688658264
1500000,Float32,Forge v4,10.657310485839844,0.11516711510173033
1500000,Float32,Forge v8,20.170211791992188,0.30157829858478347
1500000,Float32,CUDA,12.540817260742188,0.16670367688658264
1500000,UInt8,Forge v1,20.90930938720703,0.22618372393858763
1500000,UInt8,Forge v4,6.5326690673828125,0.30157829858478347
1500000,UInt8,Forge v8,4.5299530029296875,0.19466795466607237
1500000,UInt8,CUDA,5.7697296142578125,0.7931375471671199
1600000,Float32,Forge v1,23.245811462402344,0.23170121092976334
1600000,Float32,Forge v4,11.277198791503906,0.11516711510173033
1600000,Float32,Forge v8,21.338462829589844,0.25752149814001163
1600000,Float32,CUDA,13.184547424316406,0.22618372393858763
1600000,UInt8,Forge v1,22.24445343017578,0.252568699233861
1600000,UInt8,Forge v4,6.890296936035156,0.17592067417445703
1600000,UInt8,Forge v8,4.6253204345703125,0.16670367688658264
1600000,UInt8,CUDA,5.340576171875,0.20105219905652233
1700000,Float32,Forge v1,24.557113647460938,0.11239159602905076
1700000,Float32,Forge v4,11.968612670898438,0.29308142526286085
1700000,Float32,Forge v8,23.674964904785156,0.2764467737027182
1700000,Float32,CUDA,13.828277587890625,0.19466795466607237
1700000,UInt8,Forge v1,23.57959747314453,0.17592067417445703
1700000,UInt8,Forge v4,7.152557373046875,0.15894571940104166
1700000,UInt8,Forge v8,4.744529724121094,0.13533740334452313
1700000,UInt8,CUDA,5.555152893066406,0.19628348406519047
1800000,Float32,Forge v1,25.93994140625,0.2462376496764766
1800000,Float32,Forge v4,12.5885009765625,0.2190915545160011
1800000,Float32,Forge v8,24.461746215820312,0.23033423020346067
1800000,Float32,CUDA,14.281272888183594,0.237090331557215
1800000,UInt8,Forge v1,24.91474151611328,0.20261683120698867
1800000,UInt8,Forge v4,7.62939453125,0.15894571940104166
1800000,UInt8,Forge v8,5.1021575927734375,0.16670367688658264
1800000,UInt8,CUDA,5.9604644775390625,0.8920806376395086
1900000,Float32,Forge v1,27.34661102294922,0.160920276095999
