n,T,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,15.163421630859375,1.0908355672692291,62.5666,68.77838392692867
1000000,Float32,Forge v1,14.972686767578125,0.40210439811304466,42.5499,32.33219751424267
1000000,Float32,Forge v4,12.803077697753906,0.5952511886302314,50.348699999999994,60.11287012695368
1000000,Float32,Forge v8,12.969970703125,0.321840552191998,50.771800000000006,60.231417286994
1000000,Float32,Forge v16,16.21246337890625,0.40523366241397735,55.1802,58.6878775213038
1035322,Float32,CUDA,14.8773193359375,1.2525487457812974,49.319199999999995,57.23102861366182
1035322,Float32,Forge v1,15.06805419921875,0.5001110306597478,71.4704,64.75001788794262
1035322,Float32,Forge v4,12.898445129394531,0.2623808228050737,41.6521,32.37206584026831
1035322,Float32,Forge v8,14.662742614746094,1.4578450781380448,57.040099999999995,70.70742826676701
1035322,Float32,Forge v16,16.689300537109375,0.527163313286368,58.7866,70.56243512773318
1071891,Float32,CUDA,14.996528625488281,0.8293403211081546,38.737,25.68961905344474
1071891,Float32,Forge v1,15.83099365234375,0.6572746635480032,54.768800000000006,67.59044340207342
1071891,Float32,Forge v4,12.993812561035156,0.3418256945229621,57.279900000000005,75.53843508579664
1071891,Float32,Forge v8,14.781951904296875,0.841061690986821,53.1812,57.13609746677956
1071891,Float32,Forge v16,17.571449279785156,0.8489100261196507,49.7947,41.499605944715505
1109752,Float32,CUDA,15.687942504882812,0.9322406958653247,50.0788,54.58645874980758
1109752,Float32,Forge v1,16.236305236816406,0.345501345305191,89.5869,89.03033251332567
1109752,Float32,Forge v4,14.734268188476562,1.507053542599177,42.1364,32.13210601459751
1109752,Float32,Forge v8,15.6402587890625,0.6475940954673565,53.1887,58.67763806510961
1109752,Float32,Forge v16,17.42839813232422,0.48276082828799693,77.0242,67.13255730733205
1148951,Float32,CUDA,18.072128295898438,1.8933898038936123,49.348099999999995,52.49923625359811
1148951,Float32,Forge v1,16.85619354248047,0.3563008589976612,45.0874,32.904235911707985
1148951,Float32,Forge v4,14.853477478027344,0.5736377217807321,57.0598,66.69499145413145
1148951,Float32,Forge v8,16.498565673828125,0.6630151626146383,54.5855,59.766542989740046
1148951,Float32,Forge v16,18.6920166015625,0.5174897701295124,51.443599999999996,41.951523469092
1189534,Float32,CUDA,18.88275146484375,1.8867064445144552,53.1614,56.13608720125288
