n,p,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
10,10000000,Float32,KernelForge,866.5037155151367,2.5724889388015466,969.6628000000001,51.7063344125634
10,10000000,Float32,cuBLAS,934.7772598266602,47.641294808518346,1000.49541,52.414833031876526
100,1000000,Float32,KernelForge,713.7036323547363,2.4291563302411934,790.9125300000001,34.43152890295537
100,1000000,Float32,cuBLAS,692.0528411865234,1.0747577426227113,750.37788,25.03407116181764
1000,100000,Float32,KernelForge,669.0788269042969,1.5554548026282786,745.2360500000001,28.74606724665115
1000,100000,Float32,cuBLAS,661.0774993896484,1.4425503242874989,718.38422,24.906300050259077
10000,10000,Float32,KernelForge,679.5859336853027,17.692272068090563,759.17154,37.101799756890564
10000,10000,Float32,cuBLAS,665.2021408081055,0.8704628355858325,723.29201,36.948241640341024
100000,1000,Float32,KernelForge,682.8856468200684,0.7866353418293407,737.1001,25.061523681580578
100000,1000,Float32,cuBLAS,696.0082054138184,1.2404132496283218,756.10816,29.597786213871135
1000000,100,Float32,KernelForge,676.1789321899414,0.4810331662992219,746.95296,45.41271273195593
1000000,100,Float32,cuBLAS,678.3699989318848,0.5519529113036061,759.18965,49.80166880218295
10000000,10,Float32,KernelForge,732.4409484863281,0.3613096228410035,787.48858,32.1843897267673
10000000,10,Float32,cuBLAS,729.3343544006348,0.3038071487890005,785.47748,24.828751186566844
100000000,1,Float32,KernelForge,1390.0375366210938,4.231051348275679,1610.11785,1418.04730155409
100000000,1,Float32,cuBLAS,5117.595195770264,2.145466157235357,5011.7011299999995,2881.3998486557234
10,100000000,Float32,KernelForge,8785.49575805664,12.857418172010117,9096.00023,85.47427705560831
10,100000000,Float32,cuBLAS,15063.562393188477,186.19963489303726,15432.99573,190.57384746367532
100,10000000,Float32,KernelForge,7061.400413513184,10.499401947868966,7354.257030000001,82.33125280102914
100,10000000,Float32,cuBLAS,6814.632415771484,4.487037172431008,7026.06989,64.80582540701683
1000,1000000,Float32,KernelForge,6584.134101867676,8.477121441035337,6889.65437,88.0728136578433
1000,1000000,Float32,cuBLAS,6686.558723449707,10.136984513822982,6883.89958,73.55427243538328
10000,100000,Float32,KernelForge,9591.584205627441,20.190514151770813,9996.77695,105.2238637363385
10000,100000,Float32,cuBLAS,6591.3987159729,23.968798291502534,6732.2725,34.86105721795504
100000,10000,Float32,KernelForge,6902.623176574707,4.462526684241758,7058.19168,42.61397970360659
100000,10000,Float32,cuBLAS,6794.059276580811,11.641146401794952,6959.69383,38.20349396180931
1000000,1000,Float32,KernelForge,6620.423793792725,1.8776935721783254,6780.23291,75.50965938451554
1000000,1000,Float32,cuBLAS,6843.099594116211,2.9213797124377296,7009.10243,28.583847013408807
10000000,100,Float32,KernelForge,6707.522869110107,3.056986613341147,7927.85,9601.335632461034
10000000,100,Float32,cuBLAS,6735.022068023682,4.117535778125815,6916.46176,34.8253626917005
100000000,10,Float32,KernelForge,7278.74755859375,0.9237517669871617,8084.4803,4603.489688274997
100000000,10,Float32,cuBLAS,7259.304523468018,0.6843690982325645,8078.979429999999,4579.264126456244
