n,T,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
10000,Float32,CUDA,1.8358230590820312,0.252568699233861,25.243,25.323291562424416
10000,Float32,Forge v1,1.9788742065429688,0.19628348406519047,31.379099999999998,36.0617316631418
10000,Float32,Forge v4,2.1696090698242188,0.237090331557215,32.787099999999995,35.174847549065504
10000,Float32,Forge v8,2.5272369384765625,0.16670367688658264,40.8278,54.72649993234033
10000,Float32,Forge v16,2.8848648071289062,0.17592067417445703,36.5249,45.06285430484847
10186,Float32,CUDA,1.71661376953125,0.15078914929239173,31.9632,39.22511926417673
10186,Float32,Forge v1,1.9073486328125,0.11239159602905076,31.4904,35.63303525662669
10186,Float32,Forge v4,2.0742416381835938,0.22618372393858763,33.0327,39.511126975827956
10186,Float32,Forge v8,2.5510787963867188,0.22618372393858763,37.4328,49.75422323515195
10186,Float32,Forge v16,3.3855438232421875,0.1880671114317454,44.4612,70.54960758816765
10376,Float32,CUDA,1.6689300537109375,0.19466795466607237,26.384,26.16075268200227
10376,Float32,Forge v1,1.8358230590820312,0.19628348406519047,45.9523,57.742738616210445
10376,Float32,Forge v4,2.0265579223632812,0.23170121092976334,71.2318,147.7959383999138
10376,Float32,Forge v8,2.5033950805664062,0.23170121092976334,32.045700000000004,33.17056440095312
10376,Float32,Forge v16,4.410743713378906,0.12565762441032646,35.1156,36.2227237370871
10569,Float32,CUDA,1.6927719116210938,0.2087581242968829,25.250700000000002,25.670021876153946
10569,Float32,Forge v1,1.8358230590820312,0.22618372393858763,46.338,42.97609015616836
10569,Float32,Forge v4,2.1219253540039062,0.13533740334452313,46.8723,44.20744685897264
10569,Float32,Forge v8,2.6226043701171875,0.15894571940104166,32.7298,37.90584517459016
10569,Float32,Forge v16,4.2438507080078125,0.2462376496764766,37.641,44.69754649493266
10766,Float32,CUDA,1.621246337890625,0.1880671114317454,43.7985,44.10498253347095
10766,Float32,Forge v1,1.9311904907226562,0.2623808228050737,35.6374,48.14335284497284
10766,Float32,Forge v4,2.0503997802734375,0.16670367688658264,50.9781,45.75394330413257
10766,Float32,Forge v8,2.5272369384765625,0.27985281724387817,34.554,36.719295424128774
10766,Float32,Forge v16,4.2438507080078125,0.15078914929239173,39.3654,49.78382278567562
10967,Float32,CUDA,1.71661376953125,0.15078914929239173,25.832099999999997,27.88017374587181
10967,Float32,Forge v1,1.811981201171875,0.20105219905652233,28.857400000000002,35.18252669594825
10967,Float32,Forge v4,2.2172927856445312,0.252568699233861,30.6571,32.030870916282545
10967,Float32,Forge v8,2.6464462280273438,0.13533740334452313,47.8621,40.67873855099245
10967,Float32,Forge v16,4.3392181396484375,0.15078914929239173,39.819900000000004,44.553138266942916
11171,Float32,CUDA,1.811981201171875,0.16670367688658264,28.5418,35.19938875353125
11171,Float32,Forge v1,1.7642974853515625,0.1231188248382383,44.782199999999996,71.07567188692468
11171,Float32,Forge v4,2.2172927856445312,0.19628348406519047,32.762,35.704539537089055
11171,Float32,Forge v8,2.574920654296875,0.2190915545160011,32.7314,37.59552415204058
11171,Float32,Forge v16,4.220008850097656,0.160920276095999,34.0296,35.290857642675036
11379,Float32,CUDA,1.7404556274414062,0.11516711510173033,26.0259,25.961395941110545
11379,Float32,Forge v1,1.7642974853515625,0.16670367688658264,46.7307,59.341634462473124
11379,Float32,Forge v4,2.2172927856445312,0.19628348406519047,43.803,61.525888800298254
11379,Float32,Forge v8,2.5987625122070312,0.17592067417445703,39.4665,54.982294239448876
11379,Float32,Forge v16,4.3392181396484375,0.1880671114317454,52.9973,79.6522332002618
11591,Float32,CUDA,1.71661376953125,0.15078914929239173,33.1358,47.95579051306875
11591,Float32,Forge v1,1.8596649169921875,0.15078914929239173,54.5421,60.59852659457434
11591,Float32,Forge v4,2.1696090698242188,0.2087581242968829,36.8543,49.46350928838575
11591,Float32,Forge v8,2.5987625122070312,0.17592067417445703,56.9781,60.77560864076602
11591,Float32,Forge v16,4.1484832763671875,0.16670367688658264,39.3303,49.93542974471021
11807,Float32,CUDA,1.7642974853515625,0.20105219905652233,32.8665,41.27342215370295
11807,Float32,Forge v1,1.8596649169921875,0.2462376496764766,32.2628,38.63775272623051
11807,Float32,Forge v4,2.2411346435546875,0.20105219905652233,32.1288,36.30631692449982
11807,Float32,Forge v8,2.6226043701171875,0.19466795466607237,48.187,58.57866285223277
11807,Float32,Forge v16,4.1961669921875,0.1231188248382383,39.175,48.87919586081588
12027,Float32,CUDA,1.71661376953125,0.10052609952826116,22.7838,23.586103454741686
12027,Float32,Forge v1,1.8358230590820312,0.160920276095999,49.730199999999996,55.45454646985923
12027,Float32,Forge v4,2.384185791015625,0.15894571940104166,29.3247,35.00113948637165
12027,Float32,Forge v8,2.6464462280273438,0.2087581242968829,36.9705,48.78353306473177
12027,Float32,Forge v16,4.315376281738281,0.13533740334452313,39.7147,50.29442296020504
12251,Float32,CUDA,1.7642974853515625,0.16670367688658264,23.430799999999998,25.619199526917306
12251,Float32,Forge v1,1.811981201171875,0.23033423020346067,31.3582,36.5882384678161
12251,Float32,Forge v4,2.288818359375,0.20105219905652233,29.6434,33.85929814918725
12251,Float32,Forge v8,2.6226043701171875,0.2513152488206529,41.3061,45.614892598433975
12251,Float32,Forge v16,4.172325134277344,0.25752149814001163,34.4378,33.2255405233183
12479,Float32,CUDA,1.621246337890625,0.1880671114317454,28.9207,36.12124326348693
12479,Float32,Forge v1,1.8596649169921875,0.2190915545160011,33.7399,42.517615934653094
12479,Float32,Forge v4,2.1457672119140625,0.2753020616481904,32.5,35.46982042682358
12479,Float32,Forge v8,2.5272369384765625,0.20105219905652233,32.075900000000004,34.77101220029887
12479,Float32,Forge v16,4.2438507080078125,0.15078914929239173,39.5562,50.42895431043999
12712,Float32,CUDA,1.7404556274414062,0.19628348406519047,27.186,24.0026312909416
12712,Float32,Forge v1,1.8596649169921875,0.2462376496764766,42.2842,43.78934369303411
12712,Float32,Forge v4,2.1696090698242188,0.2087581242968829,37.069900000000004,50.69803572011225
12712,Float32,Forge v8,2.6941299438476562,0.19628348406519047,33.1501,36.019084961077695
12712,Float32,Forge v16,4.267692565917969,0.17592067417445703,33.9348,35.15745424926112
12949,Float32,CUDA,1.621246337890625,0.15078914929239173,25.107599999999998,25.29794771298432
12949,Float32,Forge v1,1.9311904907226562,0.2087581242968829,37.719800000000006,52.34635090072873
12949,Float32,Forge v4,2.1457672119140625,0.2513152488206529,38.3768,53.854712837823634
12949,Float32,Forge v8,2.6226043701171875,0.11239159602905076,66.87039999999999,96.31236211088262
12949,Float32,Forge v16,4.291534423828125,0.11239159602905076,38.6253,48.40817056390837
13190,Float32,CUDA,1.6927719116210938,0.17592067417445703,34.3446,45.34916031857701
13190,Float32,Forge v1,1.9311904907226562,0.2623808228050737,48.3005,59.75998582710303
13190,Float32,Forge v4,2.0742416381835938,0.160920276095999,53.7057,59.13362633345299
13190,Float32,Forge v8,2.7418136596679688,0.20261683120698867,37.7962,48.5126948192143
13190,Float32,Forge v16,4.267692565917969,0.13533740334452313,57.9171,61.88986100853318
13436,Float32,CUDA,1.6689300537109375,0.19466795466607237,29.415,37.251075372993526
13436,Float32,Forge v1,1.8358230590820312,0.11516711510173033,56.529300000000006,58.34265257949034
13436,Float32,Forge v4,2.2172927856445312,0.19628348406519047,54.625099999999996,64.15483250430597
13436,Float32,Forge v8,2.6702880859375,0.2190915545160011,40.527800000000006,51.45587484610263
13436,Float32,Forge v16,4.315376281738281,0.13533740334452313,39.803,49.47403718450045
13686,Float32,CUDA,1.7642974853515625,0.1231188248382383,29.4253,37.511979135707804
13686,Float32,Forge v1,1.8358230590820312,0.22618372393858763,46.6698,54.82222704503875
13686,Float32,Forge v4,2.09808349609375,0.2462376496764766,34.1012,42.195821659390774
13686,Float32,Forge v8,2.5033950805664062,0.20261683120698867,36.1088,46.44373237417989
13686,Float32,Forge v16,4.2438507080078125,0.15078914929239173,38.7165,44.8845982672354
13941,Float32,CUDA,1.7404556274414062,0.19628348406519047,39.2528,42.26113670133458
13941,Float32,Forge v1,1.9550323486328125,0.1880671114317454,35.828300000000006,47.305224654013294
13941,Float32,Forge v4,2.2411346435546875,0.1231188248382383,40.8924,46.62423069177656
13941,Float32,Forge v8,2.5272369384765625,0.23033423020346067,36.5709,45.77348658691211
13941,Float32,Forge v16,4.220008850097656,0.19628348406519047,36.868,41.77177743139233
14201,Float32,CUDA,1.7642974853515625,0.1231188248382383,29.2461,36.48450841552099
14201,Float32,Forge v1,1.8835067749023438,0.17592067417445703,33.7157,41.85937102582619
14201,Float32,Forge v4,2.2649765014648438,0.12565762441032646,37.055800000000005,49.38300052717198
14201,Float32,Forge v8,2.7179718017578125,0.20105219905652233,34.7375,42.64746426550795
14201,Float32,Forge v16,4.315376281738281,0.17592067417445703,39.8341,50.71249665067225
14465,Float32,CUDA,1.7404556274414062,0.19628348406519047,28.949900000000003,35.75820137923296
14465,Float32,Forge v1,1.8596649169921875,0.15078914929239173,35.8826,48.860003816345866
14465,Float32,Forge v4,2.1457672119140625,0.15894571940104166,37.5435,49.46701246566016
14465,Float32,Forge v8,2.6702880859375,0.15078914929239173,35.842,45.21753924210285
14465,Float32,Forge v16,4.315376281738281,0.17592067417445703,40.9551,48.9368844702598
14735,Float32,CUDA,1.7404556274414062,0.11516711510173033,39.4259,43.859346459765874
14735,Float32,Forge v1,1.811981201171875,0.20105219905652233,36.1132,48.79036649403468
14735,Float32,Forge v4,2.2411346435546875,0.20105219905652233,34.7629,43.84143612421169
14735,Float32,Forge v8,2.5510787963867188,0.160920276095999,34.640699999999995,42.58508157415902
