Ns,v1,v4
17000000,0.0008042468399678325,0.0008522595479335318
17100000,0.0008056477535239634,0.0008541573791631084
17200000,0.0008108220097284149,0.0008639776280777539
17300000,0.000816414477142857,0.00086638317886531
17400000,0.000816247726642187,0.0008704424982593562
17500000,0.0008229731164129988,0.0008783919244620116
17600000,0.0008308555539867112,0.0008848005559486952
17700000,0.0008393136770134231,0.0008920301894783773
17800000,0.000839042398909396,0.0008894662667852377
17900000,0.0008442972330097081,0.0009050840809954749
18000000,0.0008467980220152415,0.0009044531632007238
18100000,0.0008527575166240402,0.0009225128819732597
18200000,0.0008580403414843416,0.0009177307605504589
18300000,0.0008601193688736031,0.0009150274890210427
18400000,0.0008650353757025513,0.000924322072088725
18500000,0.0008924471271186445,0.0009306962740809677
18600000,0.0008835299054770319,0.0009316733833255704
18700000,0.0008789320158172232,0.0009333152239850676
18800000,0.0008833558503311254,0.0009700074384093115
18900000,0.0009270476533827615,0.0009858033346476086
19000000,0.0009532055921867558,0.0009936863651266758
19100000,0.000950388047030879,0.0009863103333333334
19200000,0.0009344581275105091,0.0009962079661354573
19300000,0.0009409131509877706,0.0009948025246146195
19400000,0.000933431868875408,0.0009727568191541081
19500000,0.0009161135879120882,0.0009783349882640585
19600000,0.000920905914825046,0.000981574298331697
19700000,0.000929990120409112,0.0009925570972704704
19800000,0.0009351880028050496,0.0010008140480240115
19900000,0.0009427014147031104,0.0010002290019999998
20000000,0.0009477731492183802,0.001007502295568982
20100000,0.0009532749671272038,0.001009271499495459
20200000,0.0009542454341603049,0.0010264286988199076
20300000,0.0009584258869190227,0.0010180725379134855
20400000,0.0009562899674952203,0.0010217369519918277
20500000,0.0009609204462055721,0.001019492661569827
20600000,0.0009677964625060475,0.001030659504379185
20700000,0.0009722046817298354,0.0010300741385169925
20800000,0.0009756103365853654,0.0010436967000521642
20900000,0.0009812732231486018,0.001040441372854914
21000000,0.0009890186885813147,0.0010494529937040934
21100000,0.0009872141821322805,0.001089930191280654
21200000,0.00103024485684861,0.0010954588455640735
21300000,0.0010372018195956463,0.001116483150669643
21400000,0.0010626199097185335,0.0010991633472527476
21500000,0.0010412910234253,0.001098369108182317
21600000,0.0010375713879668055,0.001105139717127072
21700000,0.0010166220066056906,0.001084602016268981
21800000,0.0010228483333333336,0.00108929733151878
21900000,0.0010230875943734016,0.0010915262024004373
22000000,0.0010251750599692467,0.0010939769885183158
22100000,0.0010359700372863808,0.0011003213481848185
22200000,0.0010362995875647675,0.0011086204952908583
22300000,0.001044702908616188,0.0011093400970604542
22400000,0.0010572900068710367,0.001118211799888206
22500000,0.001051872986330179,0.001123187131386861
22600000,0.001059224137109582,0.001123328027512634
22700000,0.0010568180670892761,0.0011344339858196252
22800000,0.001067817395088094,0.0011373866043206376
22900000,0.0010712690267809313,0.001141794380707763
23000000,0.0010772126241249318,0.0011478316500286871
23100000,0.0010825663419913416,0.0011503145687176536
23200000,0.0011099532269700338,0.0011830345464222342
23300000,0.001113900608017817,0.0011834100023654635
23400000,0.0011138287811804006,0.0011837789426035507
23500000,0.0011229661847276804,0.001181895067926757
23600000,0.001124452338392355,0.0012083126147342984
23700000,0.001108284258171745,0.0011782124988221443
